,Month,Month Code,County,County Code,Deaths,latitude,longitude
1,"Jan., 2007",2007/01,"Alameda County, CA",6001,11,37.6090291,-121.899142
94,"Jun., 2007",2007/06,"Alameda County, CA",6001,18,37.6090291,-121.899142
114,"Jul., 2007",2007/07,"Alameda County, CA",6001,13,37.6090291,-121.899142
139,"Aug., 2007",2007/08,"Alameda County, CA",6001,11,37.6090291,-121.899142
163,"Sep., 2007",2007/09,"Alameda County, CA",6001,17,37.6090291,-121.899142
225,"Dec., 2007",2007/12,"Alameda County, CA",6001,16,37.6090291,-121.899142
260,"Feb., 2008",2008/02,"Alameda County, CA",6001,18,37.6090291,-121.899142
274,"Mar., 2008",2008/03,"Alameda County, CA",6001,12,37.6090291,-121.899142
311,"May, 2008",2008/05,"Alameda County, CA",6001,16,37.6090291,-121.899142
331,"Jun., 2008",2008/06,"Alameda County, CA",6001,14,37.6090291,-121.899142
354,"Jul., 2008",2008/07,"Alameda County, CA",6001,14,37.6090291,-121.899142
374,"Aug., 2008",2008/08,"Alameda County, CA",6001,15,37.6090291,-121.899142
393,"Sep., 2008",2008/09,"Alameda County, CA",6001,14,37.6090291,-121.899142
493,"Mar., 2009",2009/03,"Alameda County, CA",6001,15,37.6090291,-121.899142
509,"Apr., 2009",2009/04,"Alameda County, CA",6001,13,37.6090291,-121.899142
559,"Jul., 2009",2009/07,"Alameda County, CA",6001,12,37.6090291,-121.899142
580,"Aug., 2009",2009/08,"Alameda County, CA",6001,10,37.6090291,-121.899142
597,"Sep., 2009",2009/09,"Alameda County, CA",6001,12,37.6090291,-121.899142
626,"Nov., 2009",2009/11,"Alameda County, CA",6001,11,37.6090291,-121.899142
678,"Mar., 2010",2010/03,"Alameda County, CA",6001,14,37.6090291,-121.899142
726,"Jun., 2010",2010/06,"Alameda County, CA",6001,11,37.6090291,-121.899142
809,"Nov., 2010",2010/11,"Alameda County, CA",6001,10,37.6090291,-121.899142
827,"Dec., 2010",2010/12,"Alameda County, CA",6001,14,37.6090291,-121.899142
840,"Jan., 2011",2011/01,"Alameda County, CA",6001,15,37.6090291,-121.899142
893,"May, 2011",2011/05,"Alameda County, CA",6001,12,37.6090291,-121.899142
925,"Jul., 2011",2011/07,"Alameda County, CA",6001,13,37.6090291,-121.899142
980,"Oct., 2011",2011/10,"Alameda County, CA",6001,10,37.6090291,-121.899142
1034,"Feb., 2012",2012/02,"Alameda County, CA",6001,10,37.6090291,-121.899142
1061,"Apr., 2012",2012/04,"Alameda County, CA",6001,13,37.6090291,-121.899142
1131,"Aug., 2012",2012/08,"Alameda County, CA",6001,14,37.6090291,-121.899142
1151,"Sep., 2012",2012/09,"Alameda County, CA",6001,12,37.6090291,-121.899142
1168,"Oct., 2012",2012/10,"Alameda County, CA",6001,15,37.6090291,-121.899142
1184,"Nov., 2012",2012/11,"Alameda County, CA",6001,12,37.6090291,-121.899142
1200,"Dec., 2012",2012/12,"Alameda County, CA",6001,11,37.6090291,-121.899142
1244,"Mar., 2013",2013/03,"Alameda County, CA",6001,16,37.6090291,-121.899142
1324,"Aug., 2013",2013/08,"Alameda County, CA",6001,17,37.6090291,-121.899142
1538,"Oct., 2014",2014/10,"Alameda County, CA",6001,17,37.6090291,-121.899142
1728,"Aug., 2015",2015/08,"Alameda County, CA",6001,10,37.6090291,-121.899142
1751,"Sep., 2015",2015/09,"Alameda County, CA",6001,14,37.6090291,-121.899142
1965,"Jul., 2016",2016/07,"Alameda County, CA",6001,14,37.6090291,-121.899142
1991,"Aug., 2016",2016/08,"Alameda County, CA",6001,15,37.6090291,-121.899142
2049,"Oct., 2016",2016/10,"Alameda County, CA",6001,10,37.6090291,-121.899142
2073,"Nov., 2016",2016/11,"Alameda County, CA",6001,18,37.6090291,-121.899142
2099,"Dec., 2016",2016/12,"Alameda County, CA",6001,12,37.6090291,-121.899142
14,"Jan., 2007",2007/01,"Allegheny County, PA",42003,12,40.4597204,-79.9760405
32,"Feb., 2007",2007/02,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
66,"Apr., 2007",2007/04,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
254,"Jan., 2008",2008/01,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
367,"Jul., 2008",2008/07,"Allegheny County, PA",42003,16,40.4597204,-79.9760405
449,"Nov., 2008",2008/11,"Allegheny County, PA",42003,15,40.4597204,-79.9760405
519,"Apr., 2009",2009/04,"Allegheny County, PA",42003,11,40.4597204,-79.9760405
652,"Dec., 2009",2009/12,"Allegheny County, PA",42003,11,40.4597204,-79.9760405
756,"Jul., 2010",2010/07,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
775,"Aug., 2010",2010/08,"Allegheny County, PA",42003,12,40.4597204,-79.9760405
1088,"May, 2012",2012/05,"Allegheny County, PA",42003,13,40.4597204,-79.9760405
1126,"Jul., 2012",2012/07,"Allegheny County, PA",42003,11,40.4597204,-79.9760405
1143,"Aug., 2012",2012/08,"Allegheny County, PA",42003,14,40.4597204,-79.9760405
1353,"Sep., 2013",2013/09,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
1370,"Oct., 2013",2013/10,"Allegheny County, PA",42003,10,40.4597204,-79.9760405
1502,"Jul., 2014",2014/07,"Allegheny County, PA",42003,11,40.4597204,-79.9760405
1581,"Dec., 2014",2014/12,"Allegheny County, PA",42003,12,40.4597204,-79.9760405
