,Month,Month Code,County,County Code,Deaths,latitude,longitude,Population,
1,"Jan., 2007",2007/01,"Alameda County, CA",6001,11,37.6090291,-121.899142,"1,449,000", 
94,"Jun., 2007",2007/06,"Alameda County, CA",6001,18,37.6090291,-121.899142,"1,449,000",
114,"Jul., 2007",2007/07,"Alameda County, CA",6001,13,37.6090291,-121.899142,"1,449,000",
139,"Aug., 2007",2007/08,"Alameda County, CA",6001,11,37.6090291,-121.899142,"1,449,000",
163,"Sep., 2007",2007/09,"Alameda County, CA",6001,17,37.6090291,-121.899142,"1,449,000",
225,"Dec., 2007",2007/12,"Alameda County, CA",6001,16,37.6090291,-121.899142,"1,449,000",
260,"Feb., 2008",2008/02,"Alameda County, CA",6001,18,37.6090291,-121.899142,"1,454,000",
274,"Mar., 2008",2008/03,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,454,000",
311,"May, 2008",2008/05,"Alameda County, CA",6001,16,37.6090291,-121.899142,"1,454,000",
331,"Jun., 2008",2008/06,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,454,000",
354,"Jul., 2008",2008/07,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,454,000",
374,"Aug., 2008",2008/08,"Alameda County, CA",6001,15,37.6090291,-121.899142,"1,454,000",
393,"Sep., 2008",2008/09,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,454,000",
493,"Mar., 2009",2009/03,"Alameda County, CA",6001,15,37.6090291,-121.899142,"1,457,095",
509,"Apr., 2009",2009/04,"Alameda County, CA",6001,13,37.6090291,-121.899142,"1,457,095",
559,"Jul., 2009",2009/07,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,457,095",
580,"Aug., 2009",2009/08,"Alameda County, CA",6001,10,37.6090291,-121.899142,"1,457,095",
597,"Sep., 2009",2009/09,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,457,095",
626,"Nov., 2009",2009/11,"Alameda County, CA",6001,11,37.6090291,-121.899142,"1,457,095",
678,"Mar., 2010",2010/03,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,510,271",
726,"Jun., 2010",2010/06,"Alameda County, CA",6001,11,37.6090291,-121.899142,"1,510,271",
809,"Nov., 2010",2010/11,"Alameda County, CA",6001,10,37.6090291,-121.899142,"1,510,271",
827,"Dec., 2010",2010/12,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,510,271",
840,"Jan., 2011",2011/01,"Alameda County, CA",6001,15,37.6090291,-121.899142,"1,529,875",
893,"May, 2011",2011/05,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,529,875",
925,"Jul., 2011",2011/07,"Alameda County, CA",6001,13,37.6090291,-121.899142,"1,529,875",
980,"Oct., 2011",2011/10,"Alameda County, CA",6001,10,37.6090291,-121.899142,"1,529,875",
1034,"Feb., 2012",2012/02,"Alameda County, CA",6001,10,37.6090291,-121.899142,"1,554,720",
1061,"Apr., 2012",2012/04,"Alameda County, CA",6001,13,37.6090291,-121.899142,"1,554,720",
1131,"Aug., 2012",2012/08,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,554,720",
1151,"Sep., 2012",2012/09,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,554,720",
1168,"Oct., 2012",2012/10,"Alameda County, CA",6001,15,37.6090291,-121.899142,"1,554,720",
1184,"Nov., 2012",2012/11,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,554,720",
1200,"Dec., 2012",2012/12,"Alameda County, CA",6001,11,37.6090291,-121.899142,"1,554,720",
1244,"Mar., 2013",2013/03,"Alameda County, CA",6001,16,37.6090291,-121.899142,"1,578,891",
1324,"Aug., 2013",2013/08,"Alameda County, CA",6001,17,37.6090291,-121.899142,"1,578,891",
1538,"Oct., 2014",2014/10,"Alameda County, CA",6001,17,37.6090291,-121.899142,"1,610,921",
1728,"Aug., 2015",2015/08,"Alameda County, CA",6001,10,37.6090291,-121.899142,"1,638,215",
1751,"Sep., 2015",2015/09,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,638,215",
1965,"Jul., 2016",2016/07,"Alameda County, CA",6001,14,37.6090291,-121.899142,"1,647,704",
1991,"Aug., 2016",2016/08,"Alameda County, CA",6001,15,37.6090291,-121.899142,"1,647,704",
2049,"Oct., 2016",2016/10,"Alameda County, CA",6001,10,37.6090291,-121.899142,"1,647,704",
2073,"Nov., 2016",2016/11,"Alameda County, CA",6001,18,37.6090291,-121.899142,"1,647,704",
2099,"Dec., 2016",2016/12,"Alameda County, CA",6001,12,37.6090291,-121.899142,"1,647,704",
14,"Jan., 2007",2007/01,"Allegheny County, PA",42003,12,40.4597204,-79.9760405,"1,022,000",
32,"Feb., 2007",2007/02,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,022,000",
66,"Apr., 2007",2007/04,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,220,000",
254,"Jan., 2008",2008/01,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,218,000",
367,"Jul., 2008",2008/07,"Allegheny County, PA",42003,16,40.4597204,-79.9760405,"1,218,000",
449,"Nov., 2008",2008/11,"Allegheny County, PA",42003,15,40.4597204,-79.9760405,"1,218,000",
519,"Apr., 2009",2009/04,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,"1,218,000",
652,"Dec., 2009",2009/12,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,"1,218,000",
756,"Jul., 2010",2010/07,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,224,000",
775,"Aug., 2010",2010/08,"Allegheny County, PA",42003,12,40.4597204,-79.9760405,"1,224,000",
1088,"May, 2012",2012/05,"Allegheny County, PA",42003,13,40.4597204,-79.9760405,"1,231,000",
1126,"Jul., 2012",2012/07,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,"1,231,000",
1143,"Aug., 2012",2012/08,"Allegheny County, PA",42003,14,40.4597204,-79.9760405,"1,231,000",
1353,"Sep., 2013",2013/09,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,234,000",
1370,"Oct., 2013",2013/10,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,234,000",
1502,"Jul., 2014",2014/07,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,"1,233,000",
1581,"Dec., 2014",2014/12,"Allegheny County, PA",42003,12,40.4597204,-79.9760405,"1,233,000",
1720,"Jul., 2015",2015/07,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,"1,231,145",
1769,"Sep., 2015",2015/09,"Allegheny County, PA",42003,17,40.4597204,-79.9760405,"1,231,145",
1839,"Dec., 2015",2015/12,"Allegheny County, PA",42003,14,40.4597204,-79.9760405,"1,230,000",
1887,"Mar., 2016",2016/03,"Allegheny County, PA",42003,12,40.4597204,-79.9760405,"1,230,360",
1930,"May, 2016",2016/05,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,"1,230,360",
2015,"Aug., 2016",2016/08,"Allegheny County, PA",42003,11,40.4597204,-79.9760405,"1,230,360",
2029,"Sep., 2016",2016/09,"Allen County, IN",18003,10,41.0975573,-85.0562084,"355,329",
10,"Jan., 2007",2007/01,"Baltimore city, MD",24510,19,39.2559916,-76.634341,"640,150",
29,"Feb., 2007",2007/02,"Baltimore city, MD",24510,14,39.2559916,-76.634341,"640,150",
45,"Mar., 2007",2007/03,"Baltimore city, MD",24510,23,39.2559916,-76.634341,"640,150",
62,"Apr., 2007",2007/04,"Baltimore city, MD",24510,17,39.2559916,-76.634341,"640,150",
82,"May, 2007",2007/05,"Baltimore city, MD",24510,27,39.2559916,-76.634341,"640,150",
104,"Jun., 2007",2007/06,"Baltimore city, MD",24510,25,39.2559916,-76.634341,"640,150",
127,"Jul., 2007",2007/07,"Baltimore city, MD",24510,19,39.2559916,-76.634341,"640,150",
152,"Aug., 2007",2007/08,"Baltimore city, MD",24510,28,39.2559916,-76.634341,"640,150",
172,"Sep., 2007",2007/09,"Baltimore city, MD",24510,15,39.2559916,-76.634341,"640,150",
191,"Oct., 2007",2007/10,"Baltimore city, MD",24510,16,39.2559916,-76.634341,"640,150",
215,"Nov., 2007",2007/11,"Baltimore city, MD",24510,12,39.2559916,-76.634341,"640,150",
